"nountop";"0"
"verbconsumpt";"0"
"verbcreat";"0"
"nounfood";"0"
"nounact";"0"
"nounev";"0"
"nounmot";"0"
"nounrel";"0"
"nounsubst";"0"
"nounplant";"0"
"verbcommun";"0"
"nounattribut";"0"
"verbbodi";"0"
"nounobject";"0"
"verbcompetit";"0"
"nounquant";"0"
"verbchang";"0"
"verbemot";"0"
"nounartifact";"0"
"nounbodi";"0"
"nouncognit";"0"
"adjal";"0"
"verbweath";"0"
"nounanim";"0"
"verbpercept";"0"
"nounloc";"0"
"nounshap";"0"
"verbcognit";"0"
"verbsoci";"0"
"nounprocess";"0"
"verbcontact";"0"
"nouncommun";"0"
"verbstat";"0"
"verbpossess";"0"
"nounfeel";"0"
"noungroup";"0"
"verbmot";"0"
"nounpossess";"0"
"nounphenomenon";"0"
